word,note
serene,
shrewd,
skeptical,
solicit,
somber,
sporadic,
spontaneous,
squander,
stagnant,
staunch,
stringent,
subordinate,
subsequent,
subside,
subsidize,
substantial,
subtle,
succinct,
superficial,
superfluous,
suppress,
surmise,
surpass,
susceptible,
sustain,
tangible,
tedious,
temper,
tenacious,
tentative,
tenuous,
terse,
thrive,
thwart,
trepidation,
trivial,
turbulent,
turmoil,
ubiquitous,
undermine,
uniform,
unprecedented,
unveil,
uphold,
vacillate,
vague,
validate,
venerate,
verbose,
verify,
viable,
vigilant,
vigorous,
vilify,
vital,
vivid,
volatile,
warrant,
wary,
wane,
whimsical,
withstand,
zealous,
